"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 11월 06일","2,246.10","2,247.32","2,260.89","2,236.10","54.72K","0.39%"
"2020년 11월 05일","2,237.42","2,198.19","2,237.42","2,195.18","64.69M","2.38%"
"2020년 11월 04일","2,185.34","2,185.13","2,196.21","2,166.28","67.99K","0.77%"
"2020년 11월 03일","2,168.65","2,144.48","2,171.62","2,143.66","49.48M","1.87%"
"2020년 11월 02일","2,128.86","2,107.50","2,132.09","2,097.53","52.23M","1.42%"
"2020년 10월 30일","2,099.01","2,151.02","2,153.49","2,098.81","72.18M","-2.77%"
"2020년 10월 29일","2,158.79","2,152.40","2,163.53","2,135.74","63.81M","-0.98%"
"2020년 10월 28일","2,180.09","2,164.17","2,180.68","2,154.26","49.61M","0.39%"
"2020년 10월 27일","2,171.60","2,167.65","2,186.06","2,163.56","73.40M","-0.38%"
"2020년 10월 26일","2,179.84","2,190.35","2,199.46","2,178.87","69.65M","-0.19%"
"2020년 10월 23일","2,184.02","2,185.74","2,192.06","2,167.30","55.65M","0.30%"
"2020년 10월 22일","2,177.41","2,174.86","2,180.68","2,161.07","57.32M","-0.56%"
"2020년 10월 21일","2,189.63","2,190.44","2,198.94","2,180.80","55.71M","0.11%"
"2020년 10월 20일","2,187.14","2,158.73","2,187.66","2,152.74","68.45M","0.74%"
"2020년 10월 19일","2,171.18","2,180.29","2,190.38","2,169.23","58.53M","0.07%"
"2020년 10월 16일","2,169.65","2,187.18","2,193.52","2,157.38","59.98M","-0.67%"
"2020년 10월 15일","2,184.30","2,197.04","2,197.94","2,174.86","54.91M","-0.82%"
"2020년 10월 14일","2,202.30","2,223.40","2,225.61","2,196.30","58.91M","-0.99%"
"2020년 10월 13일","2,224.36","2,232.23","2,234.98","2,205.10","59.39M","0.27%"
"2020년 10월 12일","2,218.30","2,218.59","2,225.78","2,209.73","56.49M","0.41%"
"2020년 10월 08일","2,209.24","2,231.67","2,231.67","2,205.99","68.60M","-0.12%"
"2020년 10월 07일","2,211.88","2,177.36","2,212.57","2,173.23","45.41M","0.90%"
"2020년 10월 06일","2,192.25","2,196.62","2,205.42","2,183.22","51.10M","0.32%"
"2020년 10월 05일","2,185.29","2,159.46","2,193.67","2,156.87","65.26M","1.23%"
"2020년 09월 29일","2,158.75","2,163.50","2,172.63","2,153.25","49.90M","0.76%"
"2020년 09월 28일","2,142.54","2,141.10","2,152.00","2,126.23","38.04M","1.02%"
"2020년 09월 25일","2,120.84","2,133.12","2,133.99","2,108.97","44.33M","0.41%"
"2020년 09월 24일","2,112.14","2,127.83","2,142.82","2,109.10","60.82M","-2.28%"
"2020년 09월 23일","2,161.49","2,173.94","2,175.19","2,114.72","61.02M","0.33%"
"2020년 09월 22일","2,154.42","2,200.73","2,204.33","2,144.60","65.56M","-2.11%"
"2020년 09월 21일","2,200.93","2,214.90","2,234.44","2,193.89","54.06M","-0.78%"
"2020년 09월 18일","2,218.24","2,224.19","2,227.73","2,206.86","58.88M","0.13%"
"2020년 09월 17일","2,215.27","2,236.71","2,244.03","2,207.04","79.40M","-1.32%"
"2020년 09월 16일","2,244.95","2,251.83","2,259.33","2,240.64","53.25M","-0.39%"
"2020년 09월 15일","2,253.83","2,241.84","2,255.76","2,233.79","56.35M","0.82%"
"2020년 09월 14일","2,235.42","2,226.12","2,236.15","2,216.24","60.82M","1.48%"
"2020년 09월 11일","2,202.81","2,196.93","2,204.38","2,180.54","50.37M","-0.01%"
"2020년 09월 10일","2,202.96","2,213.15","2,216.14","2,196.09","74.54M","0.86%"
"2020년 09월 09일","2,184.23","2,181.47","2,199.40","2,178.61","78.95M","-1.15%"
"2020년 09월 08일","2,209.67","2,197.31","2,209.74","2,184.71","77.43M","1.31%"
"2020년 09월 07일","2,181.04","2,174.05","2,186.53","2,164.98","61.72M","0.18%"
"2020년 09월 04일","2,177.07","2,153.65","2,183.17","2,153.65","69.15M","-1.56%"
"2020년 09월 03일","2,211.68","2,199.90","2,216.60","2,198.79","73.49M","1.56%"
"2020년 09월 02일","2,177.63","2,180.87","2,188.38","2,155.63","55.77M","0.41%"
"2020년 09월 01일","2,168.72","2,166.09","2,180.77","2,154.45","63.73M","0.83%"
"2020년 08월 31일","2,150.86","2,214.60","2,219.09","2,150.86","99.06M","-1.92%"
"2020년 08월 28일","2,193.03","2,205.70","2,219.34","2,187.01","62.84M","0.17%"
"2020년 08월 27일","2,189.27","2,210.10","2,217.41","2,189.27","62.91M","-0.71%"
"2020년 08월 26일","2,204.82","2,196.84","2,211.00","2,173.09","68.63M","0.42%"
"2020년 08월 25일","2,195.58","2,190.48","2,200.80","2,176.51","69.45M","1.26%"
"2020년 08월 24일","2,168.27","2,149.47","2,174.77","2,124.19","66.72M","1.20%"
"2020년 08월 21일","2,142.46","2,140.61","2,169.99","2,121.02","73.85M","1.70%"
"2020년 08월 20일","2,106.71","2,166.68","2,185.21","2,103.62","91.95M","-3.81%"
"2020년 08월 19일","2,190.16","2,211.01","2,214.60","2,188.15","64.83M","0.06%"
"2020년 08월 18일","2,188.81","2,231.33","2,249.07","2,177.76","97.12M","-1.88%"
"2020년 08월 14일","2,230.68","2,248.18","2,255.10","2,210.49","84.51M","-1.43%"
"2020년 08월 13일","2,263.04","2,279.31","2,283.21","2,236.75","110.58M","0.29%"
"2020년 08월 12일","2,256.50","2,241.40","2,256.50","2,221.00","95.88M","0.35%"
"2020년 08월 11일","2,248.68","2,223.56","2,258.54","2,223.56","118.43M","1.37%"
"2020년 08월 10일","2,218.28","2,189.97","2,225.74","2,183.92","97.70M","1.39%"
"2020년 08월 07일","2,187.78","2,181.45","2,196.78","2,169.06","74.81M","0.53%"
"2020년 08월 06일","2,176.17","2,150.01","2,185.42","2,150.01","80.15M","1.61%"
"2020년 08월 05일","2,141.59","2,120.05","2,141.84","2,112.45","63.19M","1.27%"
"2020년 08월 04일","2,114.73","2,117.08","2,125.55","2,104.86","66.45M","1.02%"
"2020년 08월 03일","2,093.44","2,086.97","2,097.62","2,076.58","64.77M","0.36%"
"2020년 07월 31일","2,086.03","2,116.22","2,119.26","2,083.71","67.59M","-0.81%"
"2020년 07월 30일","2,103.04","2,111.66","2,117.18","2,101.03","67.36M","0.22%"
"2020년 07월 29일","2,098.51","2,091.14","2,112.02","2,086.24","77.36M","0.42%"
"2020년 07월 28일","2,089.70","2,066.92","2,098.22","2,066.30","96.55M","2.24%"
"2020년 07월 27일","2,043.90","2,027.70","2,056.78","2,027.70","50.67M","0.87%"
"2020년 07월 24일","2,026.28","2,021.78","2,041.69","2,018.41","52.81M","-0.70%"
"2020년 07월 23일","2,040.63","2,046.55","2,046.55","2,026.37","65.20M","-0.48%"
"2020년 07월 22일","2,050.47","2,053.60","2,063.39","2,044.48","62.16M","-0.36%"
"2020년 07월 21일","2,057.95","2,054.87","2,065.14","2,047.29","67.19M","1.30%"
"2020년 07월 20일","2,031.54","2,048.64","2,048.64","2,020.37","56.38M","-0.40%"
"2020년 07월 17일","2,039.61","2,024.90","2,043.41","2,024.90","43.16M","0.90%"
"2020년 07월 16일","2,021.40","2,045.94","2,047.36","2,015.89","55.97M","-1.21%"
"2020년 07월 15일","2,046.13","2,051.67","2,061.43","2,037.12","76.85M","0.85%"
"2020년 07월 14일","2,028.96","2,020.59","2,028.97","2,009.92","48.51M","-0.18%"
"2020년 07월 13일","2,032.63","2,020.22","2,036.90","2,010.76","51.96M","1.66%"
"2020년 07월 10일","1,999.52","2,016.78","2,018.20","1,988.46","53.22M","-0.65%"
"2020년 07월 09일","2,012.56","2,016.62","2,027.51","2,011.94","60.69M","0.50%"
"2020년 07월 08일","2,002.55","2,011.13","2,019.57","1,996.85","56.28M","-0.29%"
"2020년 07월 07일","2,008.29","2,049.71","2,052.09","2,008.29","77.57M","-1.26%"
"2020년 07월 06일","2,033.83","2,007.73","2,038.27","2,005.55","62.00M","1.63%"
"2020년 07월 03일","2,001.18","2,001.65","2,002.87","1,986.06","40.67M","0.64%"
"2020년 07월 02일","1,988.48","1,968.69","1,988.48","1,965.57","50.28M","1.39%"
"2020년 07월 01일","1,961.21","1,981.53","1,987.36","1,955.96","49.26M","0.09%"
"2020년 06월 30일","1,959.45","1,978.46","1,987.96","1,959.45","65.95M","0.66%"
"2020년 06월 29일","1,946.66","1,957.54","1,974.87","1,940.62","52.08M","-1.94%"
"2020년 06월 26일","1,985.26","1,986.24","1,994.57","1,966.75","56.18M","1.31%"
"2020년 06월 25일","1,959.60","1,979.36","1,993.27","1,959.60","56.30M","-2.51%"
"2020년 06월 24일","2,009.97","1,987.62","2,020.42","1,985.07","67.86M","1.75%"
"2020년 06월 23일","1,975.39","1,989.63","2,002.90","1,957.17","67.58M","0.47%"
"2020년 06월 22일","1,966.13","1,959.29","1,982.41","1,955.03","58.39M","-0.50%"
"2020년 06월 19일","1,975.92","1,982.74","1,983.76","1,940.06","63.97M","0.62%"
"2020년 06월 18일","1,963.71","1,963.71","1,975.56","1,951.79","52.26M","-0.53%"
